antecedents_str,consequents_str,support,confidence,lift,conviction,zhang,leverage,antecedents_len,consequents_len
abnormal appearing skin,itching of skin,0.014122488763740726,0.32912670368500757,8.999086225867686,1.4360784044326442,0.9287283876713587,0.012553164011284645,1,1
skin rash,abnormal appearing skin,0.014718145881843288,0.37802503477051463,8.809929728807539,1.5387934896779083,0.9224049206261549,0.013047514408618649,1,1
abnormal appearing skin,skin rash,0.014718145881843288,0.34300858152448255,8.809929728807537,1.462828368390243,0.9262355318520926,0.013047514408618649,1,1
spots or clouds in vision,diminished vision,0.014306600963881519,0.44719025050778605,8.800364829632656,1.7170193427902094,0.9156624041738629,0.01268091825176165,1,1
intermenstrual bleeding,vaginal discharge,0.010602696702225592,0.3124800510692627,8.753897304453995,1.4025831467599685,0.9168754810414229,0.009391499411068096,1,1
skin swelling,skin rash,0.010840959549466615,0.34012911994563366,8.735972820634238,1.4564450618820322,0.9146845860422019,0.009600003359234381,1,1
arm stiffness or tightness,arm pain,0.01083012942004657,0.48123195380173245,8.658330563967843,1.820504911081925,0.904868364780571,0.009579295978191531,1,1
anxiety and nervousness,depression,0.020533925380408297,0.40608267294923966,8.529491266325762,1.6035746183712154,0.9297745778689563,0.018126522085269728,1,1
depression,anxiety and nervousness,0.020533925380408297,0.4313011828935396,8.52949126632576,1.6694849666973521,0.9268881627430369,0.018126522085269728,1,1
leg swelling,knee pain,0.010667677478745871,0.34272790535838554,8.527561611766783,1.460292316602236,0.9110916324199236,0.009416712904766594,1,1
itchiness of eye,diminished vision,0.013591812422158445,0.42891319207108686,8.44068618710226,1.6620678670611015,0.9103750573876913,0.011981539024845401,1,1
double vision,pain in eye,0.011479937185249364,0.3732394366197183,8.379057471500532,1.5244349014914547,0.908601197284132,0.010109862182864457,1,1
"coryza, cough",nasal congestion,0.010180321654843776,0.5147864184008762,8.162940742408537,1.9309767737728982,0.8951984086218767,0.008933182667057862,2,1
insomnia,depression,0.014436562516922078,0.3881770529994176,8.153395857302371,1.5566443784733832,0.9112413900597792,0.012665942916256872,1,1
depression,insomnia,0.014436562516922078,0.30323020928116473,8.153395857302371,1.3818184261092323,0.9212098251936506,0.012665942916256872,1,1
wheezing,nasal congestion,0.011252504467428386,0.5128331688055282,8.131968167896007,1.923234703992099,0.8967038747120076,0.009868767562031748,1,1
"back pain, leg pain",low back pain,0.01063518709048573,0.4546296296296296,8.068081270776831,1.7302935544273301,0.8970393052206138,0.009317006629288948,2,1
insomnia,anxiety and nervousness,0.015129690799805058,0.406814210832848,8.045232417487904,1.6005678879644647,0.9095287619245128,0.013249112338588987,1,1
coryza,nasal congestion,0.01938593166188336,0.5047941342357586,8.00449362607913,1.89201344564268,0.910018183212715,0.016964050582645218,1,1
nasal congestion,coryza,0.01938593166188336,0.3074016829812811,8.00449362607913,1.3883896877135002,0.9339699055538393,0.016964050582645218,1,1
"back pain, neck pain",low back pain,0.010884280067146802,0.44508414526129314,7.898682404901307,1.7005296002433277,0.8952904251017524,0.009506293270210535,2,1
"cough, nasal congestion",coryza,0.010180321654843776,0.30060761112887757,7.827581436431165,1.3749025245021775,0.9028214004277835,0.008879751135390286,2,1
abusing alcohol,depression,0.012292196891752856,0.36922576447625244,7.755336888743123,1.5098757961771876,0.9010542710292694,0.010707198448990816,1,1
abusing alcohol,anxiety and nervousness,0.013028645692316022,0.3913467794404684,7.739345658521236,1.5598933738738667,0.9007786695340646,0.011345215817599015,1,1
vaginal discharge,pelvic pain,0.012887854009855418,0.36104368932038833,7.64960281170217,1.4911853597220286,0.9014526067842429,0.011203079737635702,1,1
double vision,diminished vision,0.011685709644230248,0.3799295774647887,7.476725817393706,1.5307697291548221,0.8937409118956583,0.010122764856681017,1,1
coryza,fever,0.019266800238262848,0.5016920473773266,7.416544219434111,1.8710418060463567,0.8997187887527731,0.016668986530393802,1,1
skin swelling,abnormal appearing skin,0.01010451074890345,0.31702344546381245,7.38827860598211,1.401352683164564,0.8931168517061598,0.008736870018527897,1,1
"cough, fever",sore throat,0.01101424162018736,0.3517813905223106,7.377182533244958,1.4691261963782174,0.8923874606621471,0.00952122696716066,2,1
"anxiety and nervousness, depression",depressive or psychotic symptoms,0.011025071749607408,0.5369198312236287,7.3197242899798844,2.0010520767636617,0.8814831414659744,0.00951885767475491,2,1
double vision,symptoms of eye,0.010407754372664753,0.33838028169014084,7.3137507747797645,1.441513396175558,0.8906659688753039,0.008984715128758038,1,1
paresthesia,neck pain,0.011858991714950994,0.42790152403282533,7.301845725664559,1.6455177023791665,0.8876488941731383,0.010234882940197103,1,1
paresthesia,arm pain,0.011220014079168245,0.40484564282923013,7.283987223428871,1.5868484611385196,0.8873035522474124,0.009679647006161968,1,1
"back pain, low back pain",neck pain,0.010884280067146802,0.42675159235668786,7.282222931113431,1.642216807157512,0.8852577521372909,0.009389643035280677,2,1
wheezing,fever,0.010646017219905778,0.485192497532083,7.172630364973564,1.8110750274088978,0.8798874852043814,0.009161761559403047,1,1
elbow pain,arm pain,0.012378837927113228,0.3977035490605428,7.155486594408655,1.5680314475425223,0.8878831670839661,0.010648859432459051,1,1
facial pain,ear pain,0.01051605566686522,0.3219496021220159,7.034362638886971,1.4073170313847352,0.8868070840039443,0.009021100657191571,1,1
"cough, sore throat",fever,0.01101424162018736,0.47523364485981306,7.025408036844515,1.7767050088287737,0.8780086606845445,0.009446469106132158,2,1
"pelvic pain, sharp abdominal pain",lower abdominal pain,0.011306655114528618,0.49129411764705877,6.989775401069518,1.8276031245474398,0.8771199470286657,0.009689055912013675,2,1
cramps and spasms,lower abdominal pain,0.013786754751719282,0.4907478797224364,6.982003925141936,1.8256427868325138,0.881540062226556,0.011812141889919865,1,1
shoulder pain,hip pain,0.016245194130069855,0.3536067892503536,6.924768374428717,1.4680475042180037,0.8967906644114743,0.013899239254516338,1,1
hip pain,shoulder pain,0.016245194130069855,0.3181336161187699,6.924768374428717,1.3991870160391184,0.9016318192193563,0.013899239254516338,1,1
"cough, fever",nasal congestion,0.013451020739697839,0.4296091317883085,6.812289057817872,1.642621242034576,0.8807837176398609,0.011476497840634817,2,1
pain during pregnancy,lower abdominal pain,0.014025017598960307,0.47470674486803516,6.753782324713409,1.769892247769932,0.8778711656946616,0.011948400834508183,1,1
"lower abdominal pain, sharp abdominal pain",pelvic pain,0.011306655114528618,0.31598062953995154,6.694830525142594,1.3929463654612795,0.8821985075498477,0.009617791584366622,2,1
drug abuse,depressive or psychotic symptoms,0.011869821844371041,0.48667850799289525,6.634794040384465,1.8051991741370517,0.8705106993380234,0.010080795422130627,1,1
ache all over,hip pain,0.01259544051551416,0.33778681382515247,6.614961920370192,1.4329765090692834,0.8817046734404708,0.010691356914257499,1,1
suprapubic pain,lower abdominal pain,0.011339145502788759,0.45640802092415,6.49344138860268,1.710313058048582,0.8675521976738879,0.009592899587226745,1,1
delusions or hallucinations,depressive or psychotic symptoms,0.010353603725564521,0.47538538040775735,6.480837014609519,1.7663395163448983,0.8645278323002323,0.008756031729505252,1,1
depressive or psychotic symptoms,depression,0.02244002815833649,0.3059205669570353,6.425654128748374,1.3721639134213053,0.9112135849647828,0.01894777231811941,1,1
depression,depressive or psychotic symptoms,0.02244002815833649,0.47133757961783435,6.4256541287483735,1.7528152138526487,0.8865833902677623,0.01894777231811941,1,1
pelvic pain,lower abdominal pain,0.02127037418097146,0.4506654428636989,6.4117401643789895,1.692433960300111,0.8858459974738352,0.01795296367529611,1,1
lower abdominal pain,pelvic pain,0.02127037418097146,0.30261941448382124,6.411740164378989,1.3662587054702753,0.907846389652928,0.01795296367529611,1,1
low back pain,neck pain,0.021075431851410625,0.3740149913511436,6.382309042026953,1.503866956398953,0.8936747172981899,0.017773267742366275,1,1
neck pain,low back pain,0.021075431851410625,0.35963777490297544,6.382309042026953,1.4736203974001125,0.8958131870096393,0.017773267742366275,1,1
vaginal pain,lower abdominal pain,0.011220014079168245,0.446167097329888,6.347740975647953,1.6786876611729165,0.8641960640005366,0.00945245391529074,1,1
sore throat,nasal congestion,0.019061027779281963,0.39972745855098796,6.338456961240851,1.5608512662021432,0.8844058412388912,0.016053824623081865,1,1
nasal congestion,sore throat,0.019061027779281963,0.30224969946762836,6.33845696124085,1.3648363023805719,0.8989223972607059,0.016053824623081865,1,1
sore throat,fever,0.020414793956787785,0.4281171928230752,6.328882644783645,1.6303253043135182,0.8841552207390544,0.01718913863931813,1,1
fever,sore throat,0.020414793956787785,0.3017931476144733,6.328882644783645,1.3639438468840723,0.9030832843920423,0.01718913863931813,1,1
vaginal discharge,lower abdominal pain,0.015866139600368225,0.44447815533980584,6.323711937334511,1.6735839805410198,0.8730287571573404,0.013357148084373284,1,1
lower body pain,low back pain,0.01190231223263118,0.35348986812479893,6.2732052610615625,1.4596071895894975,0.869881527083785,0.010004986744732661,1,1
knee pain,hip pain,0.012844533492175231,0.3195904068984101,6.258617226079469,1.3946539693228541,0.8754032897038233,0.01079223774885154,1,1
shoulder pain,arm pain,0.015920290247468456,0.3465346534653465,6.234855266508724,1.4452484448098244,0.8800417091677464,0.013366856435943396,1,1
anxiety and nervousness,depressive or psychotic symptoms,0.0230465154058591,0.45577211394302847,6.213453143500596,1.702682933342045,0.883746301752945,0.01933738380486421,1,1
depressive or psychotic symptoms,anxiety and nervousness,0.0230465154058591,0.3141886903883065,6.213453143500595,1.3843955508336139,0.9054779375128408,0.01933738380486421,1,1
"fever, nasal congestion",cough,0.013451020739697839,0.5559534467323186,6.207250484163076,2.0503139209086125,0.85969804757127,0.0112840354095559,2,1
ache all over,low back pain,0.013028645692316022,0.3494045890212024,6.200705886464102,1.4504418886198547,0.8712139838197932,0.010927490447917632,1,1
palpitations,shortness of breath,0.012303027021172903,0.5328330206378987,6.027090158103684,1.9513229612009528,0.8537964759611849,0.010261738986907985,1,1
"fever, sore throat",cough,0.01101424162018736,0.5395225464190981,6.023798588102469,1.9771539792365955,0.8513723853147678,0.009185787122730979,2,1
difficulty breathing,cough,0.01076514864352629,0.5393380358111775,6.02173851712516,1.9763620625796514,0.8509192893292211,0.008977434246278487,1,1
hip pain,leg pain,0.023858775112362594,0.4672322375397667,6.009456561252871,1.7310553788665546,0.8784529779948759,0.01988857000826106,1,1
leg pain,hip pain,0.023858775112362594,0.3068672517063658,6.009456561252871,1.3690536800065884,0.9038711298312629,0.01988857000826106,1,1
nasal congestion,cough,0.03386581469648562,0.5370084149064056,5.995728172960455,1.9664176607273955,0.8892970788320035,0.028217490803282168,1,1
cough,nasal congestion,0.03386581469648562,0.37811366384522366,5.995728172960455,1.5066035413807228,0.9151831188236995,0.028217490803282168,1,1
problems with movement,abnormal involuntary movements,0.013147777115936536,0.3089058524173028,5.98464580003182,1.3722929162420279,0.869932140784973,0.01095085894312393,1,1
irregular heartbeat,shortness of breath,0.01338603996317756,0.5273037542662116,5.964546386153454,1.9284977652594861,0.8540227269760418,0.011141772068094554,1,1
painful urination,lower abdominal pain,0.012877023880435372,0.4166082690960056,5.9271994648658985,1.5936332498632817,0.857800165986626,0.010704492998563539,1,1
hip pain,low back pain,0.01695998267179293,0.3321314952279958,5.894169058596385,1.4129290869160533,0.8750230299012658,0.01408256560024532,1,1
low back pain,hip pain,0.01695998267179293,0.3009802037286181,5.894169058596384,1.357523699394735,0.879923769452657,0.01408256560024532,1,1
"cough, nasal congestion",fever,0.013451020739697839,0.3971858010873041,5.871621989016367,1.5466706214354116,0.8587723334100146,0.011160168098833061,2,1
"coryza, nasal congestion",cough,0.010180321654843776,0.5251396648044693,5.863212932251592,1.9172686413602642,0.845842492800688,0.008444017384049651,2,1
wheezing,cough,0.011512427573509504,0.5246791707798618,5.8580714914097385,1.9154111785716836,0.847899841983935,0.009547202739638614,1,1
coryza,cough,0.019775816321005037,0.514946418499718,5.749404782608399,1.876977852385336,0.8590599811949412,0.016336187860538018,1,1
fever,nasal congestion,0.024194509124384037,0.3576689081011848,5.671536773059059,1.4586498586225405,0.8834413238083346,0.019928556157401113,1,1
